location_code,hora,cantidad,sentido,latitud,longitud
"48Q37G00+","2020-05-01T00:00:00-0300",25,"Egreso",-34.706,-58.466
"48Q37G00+","2020-05-01T00:00:00-0300",19,"Ingreso",-34.706,-58.466
"48Q38F00+","2020-05-01T00:00:00-0300",170,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T00:00:00-0300",76,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T00:00:00-0300",209,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T00:00:00-0300",67,"Ingreso",-34.693438,-58.476251
"48Q38H00+","2020-05-01T00:00:00-0300",83,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T00:00:00-0300",53,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T00:00:00-0300",151,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T00:00:00-0300",87,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T00:00:00-0300",233,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T00:00:00-0300",232,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T00:00:00-0300",583,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T00:00:00-0300",608,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T00:00:00-0300",187,"Interna",-34.633299,-58.468594
"48Q39H00+","2020-05-01T00:00:00-0300",2213,"Interna",-34.618036,-58.410236
"48Q39J00+","2020-05-01T00:00:00-0300",3,"Egreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T00:00:00-0300",46,"Ingreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T00:00:00-0300",361,"Interna",-34.60855,-58.372951
"48Q3CF00+","2020-05-01T00:00:00-0300",209,"Egreso",-34.583119,-58.515753
"48Q3CF00+","2020-05-01T00:00:00-0300",147,"Ingreso",-34.583119,-58.515753
"48Q3CG00+","2020-05-01T00:00:00-0300",64,"Egreso",-34.589125,-58.484717
"48Q3CG00+","2020-05-01T00:00:00-0300",12,"Ingreso",-34.589125,-58.484717
"48Q3CH00+","2020-05-01T00:00:00-0300",20,"Egreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T00:00:00-0300",29,"Ingreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T00:00:00-0300",319,"Interna",-34.579632,-58.427733
"48Q3CJ00+","2020-05-01T00:00:00-0300",242,"Egreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T00:00:00-0300",231,"Ingreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T00:00:00-0300",3620,"Interna",-34.588796,-58.38152
"48Q3FG00+","2020-05-01T00:00:00-0300",292,"Egreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T00:00:00-0300",160,"Ingreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T00:00:00-0300",119,"Interna",-34.53698,-58.470968
"48Q37G00+","2020-05-01T01:00:00-0300",19,"Egreso",-34.706,-58.466
"48Q37G00+","2020-05-01T01:00:00-0300",9,"Ingreso",-34.706,-58.466
"48Q38F00+","2020-05-01T01:00:00-0300",89,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T01:00:00-0300",42,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T01:00:00-0300",141,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T01:00:00-0300",30,"Ingreso",-34.693438,-58.476251
"48Q38H00+","2020-05-01T01:00:00-0300",54,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T01:00:00-0300",28,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T01:00:00-0300",75,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T01:00:00-0300",48,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T01:00:00-0300",128,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T01:00:00-0300",138,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T01:00:00-0300",371,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T01:00:00-0300",352,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T01:00:00-0300",101,"Interna",-34.633299,-58.468594
"48Q39H00+","2020-05-01T01:00:00-0300",364,"Interna",-34.618036,-58.410236
"48Q39J00+","2020-05-01T01:00:00-0300",2,"Egreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T01:00:00-0300",23,"Ingreso",-34.60855,-58.372951
"48Q39J00+","2020-05-01T01:00:00-0300",180,"Interna",-34.60855,-58.372951
"48Q3CF00+","2020-05-01T01:00:00-0300",98,"Egreso",-34.583119,-58.515753
"48Q3CF00+","2020-05-01T01:00:00-0300",75,"Ingreso",-34.583119,-58.515753
"48Q3CG00+","2020-05-01T01:00:00-0300",41,"Egreso",-34.589125,-58.484717
"48Q3CG00+","2020-05-01T01:00:00-0300",10,"Ingreso",-34.589125,-58.484717
"48Q3CH00+","2020-05-01T01:00:00-0300",9,"Egreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T01:00:00-0300",23,"Ingreso",-34.579632,-58.427733
"48Q3CH00+","2020-05-01T01:00:00-0300",187,"Interna",-34.579632,-58.427733
"48Q3CJ00+","2020-05-01T01:00:00-0300",134,"Egreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T01:00:00-0300",126,"Ingreso",-34.588796,-58.38152
"48Q3CJ00+","2020-05-01T01:00:00-0300",54,"Interna",-34.588796,-58.38152
"48Q3FG00+","2020-05-01T01:00:00-0300",198,"Egreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T01:00:00-0300",73,"Ingreso",-34.53698,-58.470968
"48Q3FG00+","2020-05-01T01:00:00-0300",74,"Interna",-34.53698,-58.470968
"48Q37G00+","2020-05-01T02:00:00-0300",11,"Egreso",-34.706,-58.466
"48Q37G00+","2020-05-01T02:00:00-0300",6,"Ingreso",-34.706,-58.466
"48Q38F00+","2020-05-01T02:00:00-0300",71,"Egreso",-34.665107,-58.513913
"48Q38F00+","2020-05-01T02:00:00-0300",37,"Ingreso",-34.665107,-58.513913
"48Q38G00+","2020-05-01T02:00:00-0300",81,"Egreso",-34.693438,-58.476251
"48Q38G00+","2020-05-01T02:00:00-0300",23,"Ingreso",-34.693438,-58.476251
"48Q38H00+","2020-05-01T02:00:00-0300",30,"Egreso",-34.657675,-58.430406
"48Q38H00+","2020-05-01T02:00:00-0300",18,"Ingreso",-34.657675,-58.430406
"48Q38J00+","2020-05-01T02:00:00-0300",47,"Egreso",-34.653279,-58.382039
"48Q38J00+","2020-05-01T02:00:00-0300",47,"Ingreso",-34.653279,-58.382039
"48Q39F00+","2020-05-01T02:00:00-0300",98,"Egreso",-34.637576,-58.529494
"48Q39F00+","2020-05-01T02:00:00-0300",94,"Ingreso",-34.637576,-58.529494
"48Q39G00+","2020-05-01T02:00:00-0300",245,"Egreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T02:00:00-0300",223,"Ingreso",-34.633299,-58.468594
"48Q39G00+","2020-05-01T02:00:00-0300",70,"Interna",-34.633299,-58.468594
